SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-29-1999,Single Family Residential,8701 SW 126th Ter,Miami,FL,33176,675000,4,2.0,RANCHERO MANOR,1616,15142,1956,50,418,,Pending,,,https://www.redfin.com/FL/Miami/8701-SW-126th-Ter-33176/home/43156855,MARMLS,A11142095,N,Y,25.6529247,-80.3347577
PAST SALE,March-10-2016,Townhouse,11218 SW 71st Ln,Miami,FL,33173,355000,2,2.5,SNAPPER CREEK TOWNHOUSES,1454,,1978,50,244,146,Pending,,,https://www.redfin.com/FL/Miami/11218-SW-71st-Ln-33173/home/43090778,MARMLS,A11141979,N,Y,25.7010327,-80.374325
PAST SALE,July-2-2009,Townhouse,11719 SW 103rd Ln #11719,Miami,FL,33186,398000,3,2.0,SPRINGFEVER,1209,,1985,50,329,114,Pending,,,https://www.redfin.com/FL/Miami/11719-SW-103rd-Ln-33186/unit-11719/home/104413668,MARMLS,A11141908,N,Y,25.6726475,-80.384676
PAST SALE,March-1-2019,Condo/Co-op,9470 SW 77th Ave Unit O4,Miami,FL,33156,285000,2,2.0,KINGSTON SQUARE CONDO,1178,,1967,50,242,383,Pending,,,https://www.redfin.com/FL/Miami/9470-SW-77th-Ave-33156/unit-O4/home/43150434,MARMLS,A11141821,N,Y,25.683947,-80.320317
PAST SALE,April-8-2020,Condo/Co-op,10907 SW 88th St #430,Miami,FL,33176,219900,2,2.5,CASTLE APTS CONDO,1150,,1970,53,191,380,Pending,,,https://www.redfin.com/FL/Miami/10907-SW-88th-St-33176/unit-430/home/43094434,MARMLS,A11141275,N,Y,25.687555,-80.370662
MLS Listing,,Condo/Co-op,6323 SW 116th Pl Unit C,Miami,FL,33173,313000,3,2.0,SNAPPER VILLAGE PHASE I S,1550,,1975,54,202,515,Contingent,,,https://www.redfin.com/FL/Miami/6323-SW-116th-Pl-33173/unit-C/home/43096984,MARMLS,A11141130,N,Y,25.708334,-80.381334
PAST SALE,,Single Family Residential,10465 SW 128th Ter,Miami,FL,33176,1250000,4,3.0,MANGO LANE ESTATES,3325,15000,1980,56,376,67,Pending,,,https://www.redfin.com/FL/Miami/10465-SW-128th-Ter-33176/home/177725386,MARMLS,A11140574,N,Y,25.6500463,-80.3645165
PAST SALE,June-26-2012,Condo/Co-op,10379 N Kendall Dr Unit L2,Miami,FL,33176,170000,1,1.0,KENDALL ACRES CONDO BLDG,765,,1971,56,222,188,Pending,,,https://www.redfin.com/FL/Miami/10379-N-Kendall-Dr-33176/unit-L2/home/43442655,MARMLS,A11140435,N,Y,25.6890162,-80.3613679
MLS Listing,,Single Family Residential,8700 SW 93rd Ct,Miami,FL,33173,1050000,4,2.5,SNAPPER CREEK PARK UNIT N,2284,12650,1966,57,460,,Contingent,,,https://www.redfin.com/FL/Miami/8700-SW-93rd-Ct-33173/home/43100436,MARMLS,A11139777,N,Y,25.6886798,-80.3451136
PAST SALE,,Multi-Family (2-4 Unit),9180-9182 SW 95th Ave,Miami,FL,33176,825000,6,5.0,Cherry Grove Condo 10/5,3346,9971,1971,59,247,,Pending,,,https://www.redfin.com/FL/Miami/9180-SW-95th-Ave-33176/home/43146842,Beaches MLS,RX-10766376,N,Y,25.6842588,-80.3505738
